Lake,Year,Month,Species,Yr.Life,GE
ARL,2011,AUG,Bb M,11-Met,14.5
ARL,2011,AUG,Bb M,11-Met,36.2
ARL,2011,AUG,Bb M,11-Met,63.9
ARL,2011,AUG,Bb M,11-Met,23.8
ARL,2011,AUG,Bb M,11-Met,9.64
ARL,2011,AUG,Bb M,11-Met,0.297
ARL,2011,AUG,Bb M,11-Met,2.75
ARL,2011,AUG,Bb M,11-Met,745.2
ARL,2011,AUG,Bb M,11-Met,261
ARL,2011,AUG,Bb M,11-Met,9.88
ARL,2011,AUG,Bb M,11-Met,14.1
ARL,2011,AUG,Bb M,11-Met,526.4
ARL,2011,AUG,Bb M,11-Met,26.9
ARL,2011,AUG,Bb M,11-Met,10.3
ARL,2011,AUG,Bb M,11-Met,104.7
ARL,2011,AUG,Bb M,11-Met,2.87
ARL,2011,AUG,Bb M,11-Met,21.1
ARL,2011,AUG,Bb M,11-Met,0.17
ARL,2011,AUG,Bb M,11-Met,10.1
ARL,2011,AUG,Bb M,11-Met,2114.9
ARL,2011,AUG,Bb M,11-Met,7.62
ARL,2011,AUG,Bb M,11-Met,0.527
ARL,2011,AUG,Bb M,11-Met,2.5
ARL,2011,AUG,Bb M,11-Met,77.2
ARL,2011,AUG,Bb M,11-Met,5.21
ARL,2011,AUG,Bb M,11-Met,90.1
ARL,2011,AUG,Bb M,11-Met,5.63
ARL,2011,AUG,Bb M,11-Met,13
ARL,2011,AUG,Bb M,11-Met,20.6
ARL,2011,AUG,Bb M,11-Met,6.11
ARL,2011,AUG,Bb M,11-Met,462.3
ARL,2011,AUG,Bb M,11-Met,48.3
ARL,2012,AUG,Bb M,12-Met,0.767
ARL,2012,AUG,Bb M,12-Met,0
ARL,2012,AUG,Bb M,12-Met,4.65
ARL,2012,AUG,Bb M,12-Met,0.266
ARL,2012,AUG,Bb M,12-Met,1.12
ARL,2012,AUG,Bb M,12-Met,0
ARL,2012,AUG,Bb M,12-Met,1.38
ARL,2012,AUG,Bb M,12-Met,0
ARL,2012,AUG,Bb M,12-Met,0
ARL,2012,AUG,Bb M,12-Met,0
ARL,2012,AUG,Bb M,12-Met,0.624
ARL,2012,AUG,Bb M,12-Met,2.25
ARL,2012,AUG,Bb M,12-Met,0
ARL,2012,AUG,Bb M,12-Met,0
ARL,2012,AUG,Bb M,12-Met,0.605
ARL,2012,AUG,Bb M,12-Met,0.465
ARL,2012,AUG,Bb M,12-Met,2.02
ARL,2012,AUG,Bb M,12-Met,0
ARL,2012,AUG,Bb M,12-Met,0
ARL,2012,AUG,Bb M,12-Met,0.194
ARL,2012,AUG,Bb M,12-Met,0.603
ARL,2012,AUG,Bb M,12-Met,0
ARL,2012,AUG,Bb M,12-Met,0.0605
ARL,2012,AUG,Bb M,12-Met,0.214
ARL,2012,AUG,Bb M,12-Met,0.894
ARL,2012,AUG,Bb M,12-Met,0
ARL,2012,AUG,Bb M,12-Met,0.589
ARL,2012,AUG,Bb M,12-Met,0.272
ARL,2012,AUG,Bb M,12-Met,1.77
ARL,2012,AUG,Bb M,12-Met,0.357
ARL,2017,AUG,Bb M,17-Met,0
ARL,2017,AUG,Bb M,17-Met,0
ARL,2017,AUG,Bb M,17-Met,0
ARL,2017,AUG,Bb M,17-Met,0
ARL,2017,AUG,Bb M,17-Met,0.761756301
ARL,2017,AUG,Bb M,17-Met,0.619266368
ARL,2017,AUG,Bb M,17-Met,0.106808925
ARL,2017,AUG,Bb M,17-Met,0
ARL,2017,AUG,Bb M,17-Met,0
ARL,2017,AUG,Bb M,17-Met,0.389623716
ARL,2017,AUG,Bb M,17-Met,4.587299228
ARL,2017,AUG,Bb M,17-Met,652.0901489
ARL,2017,AUG,Bb M,17-Met,0.679156482
ARL,2017,AUG,Bb M,17-Met,38.30570698
ARL,2017,AUG,Bb M,17-Met,1.014954448
