Lake,Year,Month,Species,Yr.Life,GE
ARL,2011,AUG,Rt M,11-Met,0.429
ARL,2011,AUG,Rt M,11-Met,0.0686
ARL,2011,AUG,Rt M,11-Met,0.227
ARL,2011,AUG,Rt M,11-Met,0.363
ARL,2011,AUG,Rt M,11-Met,0.354
ARL,2011,AUG,Rt M,11-Met,0.545
ARL,2011,AUG,Rt M,11-Met,12.5
ARL,2011,AUG,Rt M,11-Met,0.142
ARL,2011,AUG,Rt M,11-Met,0.227
ARL,2011,AUG,Rt M,11-Met,1.42
ARL,2011,AUG,Rt M,11-Met,0.0969
ARL,2011,AUG,Rt M,11-Met,4.61
ARL,2011,AUG,Rt M,11-Met,0.376
ARL,2012,AUG,Rt M,12-Met,0.1
ARL,2012,AUG,Rt M,12-Met,0
ARL,2012,AUG,Rt M,12-Met,0
ARL,2012,AUG,Rt M,12-Met,0
ARL,2012,AUG,Rt M,12-Met,0
ARL,2012,AUG,Rt M,12-Met,0
ARL,2012,AUG,Rt M,12-Met,4.65
ARL,2012,AUG,Rt M,12-Met,0
ARL,2012,AUG,Rt M,12-Met,0
ARL,2012,AUG,Rt M,12-Met,0
ARL,2012,AUG,Rt M,12-Met,0
ARL,2012,AUG,Rt M,12-Met,0.1
ARL,2012,AUG,Rt M,12-Met,0
ARL,2012,AUG,Rt M,12-Met,0.417
ARL,2012,AUG,Rt M,12-Met,2.36
ARL,2012,AUG,Rt M,12-Met,0.111
ARL,2012,AUG,Rt M,12-Met,0
ARL,2012,AUG,Rt M,12-Met,0.276
ARL,2012,AUG,Rt M,12-Met,0.553
ARL,2012,AUG,Rt M,12-Met,0
ARL,2012,AUG,Rt M,12-Met,7.46
ARL,2012,AUG,Rt M,12-Met,0
ARL,2012,AUG,Rt M,12-Met,0
ARL,2012,AUG,Rt M,12-Met,0.208
ARL,2012,AUG,Rt M,12-Met,0.179
ARL,2012,AUG,Rt M,12-Met,15.5
ARL,2012,AUG,Rt M,12-Met,2.21
ARL,2012,AUG,Rt M,12-Met,13.1
ARL,2012,AUG,Rt M,12-Met,0.419
ARL,2012,AUG,Rt M,12-Met,2.06
ARL,2013,AUG,Rt M,13-Met,0
ARL,2013,AUG,Rt M,13-Met,0
ARL,2013,AUG,Rt M,13-Met,0
ARL,2013,AUG,Rt M,13-Met,0
ARL,2013,AUG,Rt M,13-Met,0
ARL,2013,AUG,Rt M,13-Met,0
ARL,2013,AUG,Rt M,13-Met,0
ARL,2013,AUG,Rt M,13-Met,0
ARL,2013,AUG,Rt M,13-Met,0
ARL,2013,AUG,Rt M,13-Met,0
ARL,2013,AUG,Rt M,13-Met,0
ARL,2013,AUG,Rt M,13-Met,0
ARL,2013,AUG,Rt M,13-Met,0
ARL,2013,AUG,Rt M,13-Met,0
ARL,2013,AUG,Rt M,13-Met,0.053
ARL,2013,AUG,Rt M,13-Met,0.24
ARL,2013,AUG,Rt M,13-Met,0.27
ARL,2013,AUG,Rt M,13-Met,0.28
ARL,2013,AUG,Rt M,13-Met,0.3
ARL,2013,AUG,Rt M,13-Met,0.31
ARL,2013,AUG,Rt M,13-Met,0.42
ARL,2013,AUG,Rt M,13-Met,0.48
ARL,2013,AUG,Rt M,13-Met,0.57
ARL,2013,AUG,Rt M,13-Met,0.859
ARL,2013,AUG,Rt M,13-Met,0.94
ARL,2013,AUG,Rt M,13-Met,1.27
ARL,2013,AUG,Rt M,13-Met,1.31
ARL,2013,AUG,Rt M,13-Met,3.72
ARL,2013,AUG,Rt M,13-Met,4.78
ARL,2013,AUG,Rt M,13-Met,4.83
ARL,2014,AUG,Rt M,14-Met,0
ARL,2014,AUG,Rt M,14-Met,0
ARL,2014,AUG,Rt M,14-Met,0
ARL,2014,AUG,Rt M,14-Met,0
ARL,2014,AUG,Rt M,14-Met,0
ARL,2014,AUG,Rt M,14-Met,0
ARL,2014,AUG,Rt M,14-Met,0
ARL,2014,AUG,Rt M,14-Met,0
ARL,2014,AUG,Rt M,14-Met,0
ARL,2014,AUG,Rt M,14-Met,0
ARL,2014,AUG,Rt M,14-Met,0
ARL,2014,AUG,Rt M,14-Met,0
ARL,2014,AUG,Rt M,14-Met,0
ARL,2014,AUG,Rt M,14-Met,0
ARL,2014,AUG,Rt M,14-Met,0
ARL,2014,AUG,Rt M,14-Met,0.11
ARL,2014,AUG,Rt M,14-Met,0.14
ARL,2014,AUG,Rt M,14-Met,0.21
ARL,2014,AUG,Rt M,14-Met,0.24
ARL,2014,AUG,Rt M,14-Met,0.25
ARL,2014,AUG,Rt M,14-Met,0.25
ARL,2014,AUG,Rt M,14-Met,0.33
ARL,2014,AUG,Rt M,14-Met,0.46
ARL,2014,AUG,Rt M,14-Met,0.923130438
ARL,2014,AUG,Rt M,14-Met,1.17
ARL,2014,AUG,Rt M,14-Met,1.2
ARL,2014,AUG,Rt M,14-Met,1.86
ARL,2014,AUG,Rt M,14-Met,2.15
ARL,2014,AUG,Rt M,14-Met,4.97
ARL,2014,AUG,Rt M,14-Met,9.74
ARL,2017,AUG,Rt M,17-Met,0
ARL,2017,AUG,Rt M,17-Met,0
ARL,2017,AUG,Rt M,17-Met,0.504431203
ARL,2017,AUG,Rt M,17-Met,0
ARL,2017,AUG,Rt M,17-Met,0.175219048
ARL,2017,AUG,Rt M,17-Met,0
ARL,2017,AUG,Rt M,17-Met,0
ARL,2017,AUG,Rt M,17-Met,0
ARL,2017,AUG,Rt M,17-Met,0
ARL,2017,AUG,Rt M,17-Met,0
ARL,2017,AUG,Rt M,17-Met,1.327073574
ARL,2017,AUG,Rt M,17-Met,1.408848912
ARL,2017,AUG,Rt M,17-Met,1.029006466
ARL,2017,AUG,Rt M,17-Met,0.128891999
ARL,2017,AUG,Rt M,17-Met,0.621693768
ARL,2017,AUG,Rt M,17-Met,0.933201388
ARL,2017,AUG,Rt M,17-Met,1.21409595
ARL,2017,AUG,Rt M,17-Met,1.485409439
ARL,2016,AUG,Rt M,16-Met,0
ARL,2016,AUG,Rt M,16-Met,0
ARL,2016,AUG,Rt M,16-Met,0
ARL,2016,AUG,Rt M,16-Met,0
ARL,2016,AUG,Rt M,16-Met,0
ARL,2016,AUG,Rt M,16-Met,0
ARL,2016,AUG,Rt M,16-Met,0
ARL,2016,AUG,Rt M,16-Met,0
ARL,2016,AUG,Rt M,16-Met,0
ARL,2016,AUG,Rt M,16-Met,0
ARL,2016,AUG,Rt M,16-Met,0
ARL,2016,AUG,Rt M,16-Met,0
ARL,2016,AUG,Rt M,16-Met,0
ARL,2016,AUG,Rt M,16-Met,0
ARL,2016,AUG,Rt M,16-Met,0
ARL,2016,AUG,Rt M,16-Met,0
ARL,2016,AUG,Rt M,16-Met,0
ARL,2016,AUG,Rt M,16-Met,0
ARL,2016,AUG,Rt M,16-Met,0
ARL,2016,AUG,Rt M,16-Met,0
ARL,2016,AUG,Rt M,16-Met,0
ARL,2016,AUG,Rt M,16-Met,0
ARL,2016,AUG,Rt M,16-Met,0
ARL,2016,AUG,Rt M,16-Met,0
ARL,2016,AUG,Rt M,16-Met,0
ARL,2016,AUG,Rt M,16-Met,0
ARL,2016,AUG,Rt M,16-Met,0
ARL,2016,AUG,Rt M,16-Met,0
ARL,2016,AUG,Rt M,16-Met,0
ARL,2018,AUG,Rt M,18-Met,0
ARL,2018,AUG,Rt M,18-Met,0
ARL,2018,AUG,Rt M,18-Met,0
ARL,2018,AUG,Rt M,18-Met,0
ARL,2018,AUG,Rt M,18-Met,0
ARL,2018,AUG,Rt M,18-Met,0
ARL,2018,AUG,Rt M,18-Met,0
ARL,2018,AUG,Rt M,18-Met,0
ARL,2018,AUG,Rt M,18-Met,0
ARL,2018,AUG,Rt M,18-Met,0
ARL,2018,AUG,Rt M,18-Met,0
ARL,2018,AUG,Rt M,18-Met,0
ARL,2018,AUG,Rt M,18-Met,0
ARL,2018,AUG,Rt M,18-Met,0
ARL,2018,AUG,Rt M,18-Met,0
ARL,2018,AUG,Rt M,18-Met,0
