Lake,Year,Species,Developmental stage,GE_T
Arlet,2013,Alytes obstetricans,Over-wintered larva,36.79976702
Arlet,2013,Alytes obstetricans,Over-wintered larva,0.166794248
Arlet,2013,Alytes obstetricans,Over-wintered larva,4535.303955
Arlet,2013,Alytes obstetricans,Over-wintered larva,0.015906307
Arlet,2013,Alytes obstetricans,Over-wintered larva,6.780981421
Arlet,2013,Alytes obstetricans,Over-wintered larva,0.161570348
Arlet,2013,Alytes obstetricans,Over-wintered larva,1.041526049
Arlet,2013,Alytes obstetricans,Over-wintered larva,1.106215715
Arlet,2013,Alytes obstetricans,Over-wintered larva,0.543736406
Arlet,2013,Alytes obstetricans,Over-wintered larva,0.216539204
Arlet,2013,Alytes obstetricans,Over-wintered larva,4.558524787
Arlet,2013,Alytes obstetricans,Over-wintered larva,0.499402657
Arlet,2013,Alytes obstetricans,Over-wintered larva,384.2075348
Arlet,2013,Alytes obstetricans,Over-wintered larva,63.92382622
Arlet,2013,Alytes obstetricans,Over-wintered larva,174.8387718
Arlet,2013,Alytes obstetricans,Over-wintered larva,314.4661713
Arlet,2013,Alytes obstetricans,Over-wintered larva,0.765004605
Arlet,2013,Alytes obstetricans,Over-wintered larva,31.99748993
Arlet,2013,Alytes obstetricans,Over-wintered larva,67.96302795
Arlet,2013,Alytes obstetricans,Over-wintered larva,288.047657
Arlet,2013,Alytes obstetricans,Over-wintered larva,63.18692207
Arlet,2013,Alytes obstetricans,Over-wintered larva,1.731218547
Arlet,2013,Alytes obstetricans,Over-wintered larva,331.0668564
Arlet,2013,Alytes obstetricans,Over-wintered larva,213.7627411
Arlet,2013,Alytes obstetricans,Over-wintered larva,4293.778076
Arlet,2013,Alytes obstetricans,Over-wintered larva,396.8413162
Arlet,2013,Alytes obstetricans,Over-wintered larva,266.794281
Arlet,2013,Alytes obstetricans,Over-wintered larva,551.5251923
Arlet,2013,Alytes obstetricans,Over-wintered larva,977.1192932
Arlet,2013,Alytes obstetricans,Over-wintered larva,258.6221504
Arlet,2013,Alytes obstetricans,Over-wintered larva,1194.346161
Arlet,2013,Alytes obstetricans,Over-wintered larva,7461.315918
Arlet,2013,Alytes obstetricans,Over-wintered larva,80.26262283
Arlet,2013,Alytes obstetricans,Over-wintered larva,102.4314117
Arlet,2013,Alytes obstetricans,Over-wintered larva,4589.102173
Arlet,2013,Alytes obstetricans,Over-wintered larva,309.8612595
Arlet,2013,Alytes obstetricans,Over-wintered larva,439.4488525
Arlet,2013,Alytes obstetricans,Over-wintered larva,545.6892395
Arlet,2013,Alytes obstetricans,Over-wintered larva,778.2273865
Arlet,2013,Alytes obstetricans,Over-wintered larva,4813.419189
Arlet,2013,Alytes obstetricans,Over-wintered larva,463.8596344
Arlet,2013,Alytes obstetricans,Over-wintered larva,510.6830978
Arlet,2013,Alytes obstetricans,Over-wintered larva,56.03972435
Arlet,2013,Alytes obstetricans,Over-wintered larva,12.52138972
Arlet,2013,Alytes obstetricans,Over-wintered larva,164.9915504
Arlet,2013,Alytes obstetricans,Over-wintered larva,218.1554031
Arlet,2013,Alytes obstetricans,Over-wintered larva,50.38422585
Arlet,2013,Alytes obstetricans,Over-wintered larva,93.54104996
Arlet,2013,Alytes obstetricans,Over-wintered larva,1622.708282
Arlet,2013,Alytes obstetricans,Over-wintered larva,7.99012661
Arlet,2013,Alytes obstetricans,Over-wintered larva,833.351593
Arlet,2013,Alytes obstetricans,Over-wintered larva,0.172571056
Arlet,2016,Alytes obstetricans,Over-wintered larva,3.1197
Arlet,2016,Alytes obstetricans,Over-wintered larva,5.99464
Arlet,2016,Alytes obstetricans,Over-wintered larva,7.81058
Arlet,2016,Alytes obstetricans,Over-wintered larva,27.6894
Arlet,2016,Alytes obstetricans,Over-wintered larva,52.7987
Arlet,2016,Alytes obstetricans,Over-wintered larva,107.211
Arlet,2016,Alytes obstetricans,Over-wintered larva,626.992
Arlet,2016,Alytes obstetricans,Over-wintered larva,61.1252
Arlet,2016,Alytes obstetricans,Over-wintered larva,1.53334
Arlet,2016,Alytes obstetricans,Over-wintered larva,112.194
Arlet,2016,Alytes obstetricans,Over-wintered larva,0.813241
Arlet,2016,Alytes obstetricans,Over-wintered larva,0.431077
Arlet,2016,Alytes obstetricans,Over-wintered larva,289.483
Arlet,2016,Alytes obstetricans,Over-wintered larva,306.634
Arlet,2016,Alytes obstetricans,Over-wintered larva,200.732
Arlet,2016,Alytes obstetricans,Over-wintered larva,1.68315
Arlet,2016,Alytes obstetricans,Over-wintered larva,4.06061
Arlet,2016,Alytes obstetricans,Over-wintered larva,115.927
Arlet,2016,Alytes obstetricans,Over-wintered larva,28.1953
Arlet,2016,Alytes obstetricans,Over-wintered larva,2.20888
Arlet,2016,Alytes obstetricans,Over-wintered larva,249.71
Arlet,2016,Alytes obstetricans,Over-wintered larva,1.02506
Arlet,2016,Alytes obstetricans,Over-wintered larva,5.35964
Arlet,2016,Alytes obstetricans,Over-wintered larva,572.89
Arlet,2016,Alytes obstetricans,Over-wintered larva,4.50453
Arlet,2016,Alytes obstetricans,Over-wintered larva,7.1109
Arlet,2016,Alytes obstetricans,Over-wintered larva,17.2686
Arlet,2016,Alytes obstetricans,Over-wintered larva,15.8346
Arlet,2016,Alytes obstetricans,Over-wintered larva,76.0198
Arlet,2016,Alytes obstetricans,Over-wintered larva,352.948
Arlet,2016,Alytes obstetricans,Over-wintered larva,817.818
Arlet,2016,Alytes obstetricans,Over-wintered larva,110.09
Arlet,2016,Alytes obstetricans,Over-wintered larva,137.463
Arlet,2016,Alytes obstetricans,Over-wintered larva,12.5553
Arlet,2016,Alytes obstetricans,Over-wintered larva,51.4912
Arlet,2016,Alytes obstetricans,Over-wintered larva,13.6997
Arlet,2016,Alytes obstetricans,Over-wintered larva,2.87446
Arlet,2016,Alytes obstetricans,Over-wintered larva,0.322097
Arlet,2016,Alytes obstetricans,Over-wintered larva,12.136
Arlet,2016,Alytes obstetricans,Over-wintered larva,5.90975
Arlet,2018,Alytes obstetricans ,Over-wintered larva,0
Arlet,2018,Alytes obstetricans ,Over-wintered larva,0
Arlet,2018,Alytes obstetricans ,Over-wintered larva,0
Arlet,2018,Alytes obstetricans ,Over-wintered larva,0
