Lake,Year,Species,Development stage,GE
Acherito,2009,Alytes obstetricans ,Metamorphs,0
Acherito,2009,Alytes obstetricans ,Metamorphs,0
Acherito,2009,Alytes obstetricans ,Metamorphs,0
Acherito,2009,Alytes obstetricans ,Metamorphs,0
Acherito,2009,Alytes obstetricans ,Metamorphs,0
Acherito,2009,Alytes obstetricans ,Metamorphs,0.134012
Acherito,2009,Alytes obstetricans ,Metamorphs,0
Acherito,2009,Alytes obstetricans ,Metamorphs,0
Acherito,2009,Alytes obstetricans ,Metamorphs,0.140861
Acherito,2009,Alytes obstetricans ,Metamorphs,0
Acherito,2009,Alytes obstetricans ,Metamorphs,0.455
Acherito,2009,Alytes obstetricans ,Metamorphs,0.237355
Acherito,2009,Alytes obstetricans ,Metamorphs,0
Acherito,2009,Alytes obstetricans ,Metamorphs,19.6111
Acherito,2009,Alytes obstetricans ,Metamorphs,0
Acherito,2009,Alytes obstetricans ,Metamorphs,0
Acherito,2009,Alytes obstetricans ,Metamorphs,0.600067
Acherito,2009,Alytes obstetricans ,Metamorphs,0
Acherito,2009,Alytes obstetricans ,Metamorphs,0
Acherito,2009,Alytes obstetricans ,Metamorphs,0.0588267
Acherito,2009,Alytes obstetricans ,Metamorphs,0.437173
Acherito,2009,Alytes obstetricans ,Metamorphs,0
Acherito,2009,Alytes obstetricans ,Metamorphs,5.93489
Acherito,2009,Alytes obstetricans ,Metamorphs,780.124
Acherito,2009,Alytes obstetricans ,Metamorphs,303.797
Acherito,2009,Alytes obstetricans ,Metamorphs,168.675
Acherito,2009,Alytes obstetricans ,Metamorphs,46.3642
Acherito,2009,Alytes obstetricans ,Metamorphs,9.45317
Acherito,2009,Alytes obstetricans ,Metamorphs,644.879
Acherito,2009,Alytes obstetricans ,Metamorphs,10.6876
Acherito,2009,Alytes obstetricans ,Metamorphs,1.89723
Acherito,2009,Alytes obstetricans ,Metamorphs,12.005
Acherito,2009,Alytes obstetricans ,Metamorphs,860.537
Acherito,2009,Alytes obstetricans ,Metamorphs,532.207
Acherito,2009,Alytes obstetricans ,Metamorphs,49.8341
Acherito,2010,Alytes obstetricans,Metamorph,4.87
Acherito,2010,Alytes obstetricans,Metamorph,39.5
Acherito,2010,Alytes obstetricans,Metamorph,0.319674
Acherito,2010,Alytes obstetricans,Metamorph,12
Acherito,2010,Alytes obstetricans,Metamorph,0.623
Acherito,2010,Alytes obstetricans,Metamorph,2.12
Acherito,2010,Alytes obstetricans,Metamorph,0.201
Acherito,2010,Alytes obstetricans,Metamorph,0
Acherito,2010,Alytes obstetricans,Metamorph,29
Acherito,2010,Alytes obstetricans,Metamorph,7.81
Acherito,2010,Alytes obstetricans,Metamorph,31.7
Acherito,2010,Alytes obstetricans,Metamorph,0.149
Acherito,2010,Alytes obstetricans,Metamorph,0
Acherito,2010,Alytes obstetricans,Metamorph,0
Acherito,2010,Alytes obstetricans,Metamorph,0
Acherito,2010,Alytes obstetricans,Metamorph,8.15
Acherito,2010,Alytes obstetricans,Metamorph,0.413
Acherito,2010,Alytes obstetricans,Metamorph,564.5
Acherito,2010,Alytes obstetricans,Metamorph,72.2
Acherito,2010,Alytes obstetricans,Metamorph,0
Acherito,2010,Alytes obstetricans,Metamorph,0.108
Acherito,2010,Alytes obstetricans,Metamorph,0
Acherito,2010,Alytes obstetricans,Metamorph,2.73
Acherito,2010,Alytes obstetricans,Metamorph,9.87
Acherito,2010,Alytes obstetricans,Metamorph,3.38
Acherito,2010,Alytes obstetricans,Metamorph,0.1
Acherito,2010,Alytes obstetricans,Metamorph,0
Acherito,2010,Alytes obstetricans,Metamorph,0.182
Acherito,2010,Alytes obstetricans,Metamorph,17.6
Acherito,2010,Alytes obstetricans,Metamorph,497.9
Acherito,2015,Alytes obstetricans,Metamorphs,3.60823
Acherito,2015,Alytes obstetricans,Metamorphs,2.80983
Acherito,2015,Alytes obstetricans,Metamorphs,2.78234
Acherito,2015,Alytes obstetricans,Metamorphs,2.65393
Acherito,2015,Alytes obstetricans,Metamorphs,2.30882
Acherito,2015,Alytes obstetricans,Metamorphs,0.658516
Acherito,2015,Alytes obstetricans,Metamorphs,0.399542
Acherito,2015,Alytes obstetricans,Metamorphs,0.366302
Acherito,2015,Alytes obstetricans,Metamorphs,0.342595
Acherito,2015,Alytes obstetricans,Metamorphs,0.114793
Acherito,2015,Alytes obstetricans,Metamorphs,0
Acherito,2015,Alytes obstetricans,Metamorphs,0
Acherito,2015,Alytes obstetricans,Metamorphs,0
Acherito,2015,Alytes obstetricans,Metamorphs,0
Acherito,2016,Alytes obstetricans,Metamorph,0.702771
Acherito,2016,Alytes obstetricans,Metamorph,345.502
Acherito,2016,Alytes obstetricans,Metamorph,0
Acherito,2016,Alytes obstetricans,Metamorph,0
Acherito,2016,Alytes obstetricans,Metamorph,0
Acherito,2016,Alytes obstetricans,Metamorph,17.1102
Acherito,2016,Alytes obstetricans,Metamorph,9.42601
Acherito,2016,Alytes obstetricans,Metamorph,9.39386
Acherito,2016,Alytes obstetricans,Metamorph,92.5827
Acherito,2016,Alytes obstetricans,Metamorph,6.53419
Acherito,2016,Alytes obstetricans,Metamorph,7.49196
Acherito,2016,Alytes obstetricans,Metamorph,52.6682
Acherito,2016,Alytes obstetricans,Metamorph,52.6682
Acherito,2016,Alytes obstetricans,Metamorph,344.756
Acherito,2016,Alytes obstetricans,Metamorph,3.897782266
Acherito,2016,Alytes obstetricans,Metamorph,0.001261187
Acherito,2016,Alytes obstetricans,Metamorph,0
Acherito,2016,Alytes obstetricans,Metamorph,0
Acherito,2016,Alytes obstetricans,Metamorph,0
Acherito,2016,Alytes obstetricans,Metamorph,0
Acherito,2016,Alytes obstetricans,Metamorph,0
Acherito,2016,Alytes obstetricans,Metamorph,46.1193943
Acherito,2016,Alytes obstetricans,Metamorph,4.204467535
Acherito,2016,Alytes obstetricans,Metamorph,67.71578789
Acherito,2016,Alytes obstetricans,Metamorph,0
Acherito,2016,Alytes obstetricans,Metamorph,0.202442668
Acherito,2016,Alytes obstetricans,Metamorph,0
Acherito,2016,Alytes obstetricans,Metamorph,0
Acherito,2016,Alytes obstetricans,Metamorph,0.006296492
Acherito,2016,Alytes obstetricans,Metamorph,0.010139318
Acherito,2017,Alytes obstetricans,Metamorphs,0
Acherito,2017,Alytes obstetricans,Metamorphs,0
Acherito,2017,Alytes obstetricans,Metamorphs,0
Acherito,2017,Alytes obstetricans,Metamorphs,0
Acherito,2017,Alytes obstetricans,Metamorphs,0
Acherito,2017,Alytes obstetricans,Metamorphs,0
Acherito,2017,Alytes obstetricans,Metamorphs,0
Acherito,2017,Alytes obstetricans,Metamorphs,0.280372538
Acherito,2017,Alytes obstetricans,Metamorphs,0.713812485
Acherito,2017,Alytes obstetricans,Metamorphs,0
Acherito,2017,Alytes obstetricans,Metamorphs,0
Acherito,2017,Alytes obstetricans,Metamorphs,0.574738756
Acherito,2017,Alytes obstetricans,Metamorphs,0
Acherito,2017,Alytes obstetricans,Metamorphs,0
Acherito,2017,Alytes obstetricans,Metamorphs,0
Acherito,2017,Alytes obstetricans,Metamorphs,0
Acherito,2017,Alytes obstetricans,Metamorphs,4.072397947
Acherito,2017,Alytes obstetricans,Metamorphs,0
Acherito,2017,Alytes obstetricans,Metamorphs,0
Acherito,2017,Alytes obstetricans,Metamorphs,0
Acherito,2017,Alytes obstetricans,Metamorphs,0
Acherito,2018,Alytes obstetricans ,Metamorph ,0
Acherito,2018,Alytes obstetricans ,Metamorph ,0
Acherito,2018,Alytes obstetricans ,Metamorph ,0
Acherito,2018,Alytes obstetricans ,Metamorph ,1.012123674
Acherito,2018,Alytes obstetricans ,Metamorph ,1.559552252
Acherito,2018,Alytes obstetricans ,Metamorph ,0.1137021
Acherito,2018,Alytes obstetricans ,Metamorph ,0.02240014
Acherito,2018,Alytes obstetricans ,Metamorph ,0.285386592
Acherito,2018,Alytes obstetricans ,Metamorph ,0.026887523
Acherito,2018,Alytes obstetricans ,Metamorph ,11.1823976
Acherito,2018,Alytes obstetricans ,Metamorph ,0
Acherito,2018,Alytes obstetricans ,Metamorph ,2.225565612
Acherito,2018,Alytes obstetricans ,Metamorph ,0
Acherito,2018,Alytes obstetricans ,Metamorph ,0
Acherito,2018,Alytes obstetricans ,Metamorph ,0.746678114
Acherito,2018,Alytes obstetricans ,Metamorph ,0
Acherito,2018,Alytes obstetricans ,Metamorph ,0.873856097
Acherito,2018,Alytes obstetricans ,Metamorph ,0
Acherito,2018,Alytes obstetricans ,Metamorph ,4.682229161
Acherito,2018,Alytes obstetricans ,Metamorph ,16.11047506
Acherito,2012,Alytes obstetricans ,Metamorph ,0.413
Acherito,2012,Alytes obstetricans ,Metamorph ,0.0394
Acherito,2012,Alytes obstetricans ,Metamorph ,0.46
Acherito,2012,Alytes obstetricans ,Metamorph ,0
Acherito,2012,Alytes obstetricans ,Metamorph ,0
Acherito,2012,Alytes obstetricans ,Metamorph ,0
Acherito,2012,Alytes obstetricans ,Metamorph ,0
Acherito,2012,Alytes obstetricans ,Metamorph ,0
Acherito,2012,Alytes obstetricans ,Metamorph ,0.00666
Acherito,2012,Alytes obstetricans ,Metamorph ,0
Acherito,2012,Alytes obstetricans ,Metamorph ,0
Acherito,2012,Alytes obstetricans ,Metamorph ,0.0167
Acherito,2012,Alytes obstetricans ,Metamorph ,0
Acherito,2012,Alytes obstetricans ,Metamorph ,0
Acherito,2012,Alytes obstetricans ,Metamorph ,0
Acherito,2012,Alytes obstetricans ,Metamorph ,0.43
Acherito,2012,Alytes obstetricans ,Metamorph ,0.0038
Acherito,2012,Alytes obstetricans ,Metamorph ,0
Acherito,2012,Alytes obstetricans ,Metamorph ,31.5
Acherito,2012,Alytes obstetricans ,Metamorph ,0.458
Acherito,2012,Alytes obstetricans ,Metamorph ,0
Acherito,2012,Alytes obstetricans ,Metamorph ,0.0102
Acherito,2012,Alytes obstetricans ,Metamorph ,0.0699
Acherito,2012,Alytes obstetricans ,Metamorph ,0.465
Acherito,2012,Alytes obstetricans ,Metamorph ,0.0192
Acherito,2012,Alytes obstetricans ,Metamorph ,0.00133
Acherito,2012,Alytes obstetricans ,Metamorph ,0.0279
Acherito,2012,Alytes obstetricans ,Metamorph ,0.198
Acherito,2012,Alytes obstetricans ,Metamorph ,0
Acherito,2012,Alytes obstetricans ,Metamorph ,0.00576
Acherito,2014,Alytes obstetricans ,Metamorph ,0
Acherito,2014,Alytes obstetricans ,Metamorph ,1.12
Acherito,2014,Alytes obstetricans ,Metamorph ,28.89
Acherito,2014,Alytes obstetricans ,Metamorph ,0
Acherito,2014,Alytes obstetricans ,Metamorph ,0
